query0,0.08,0.07,0.07
query1,0.18,0.09,0.06
query2,0.18,0.14,0.11
query3,0.26,0.10,0.08
query4,0.29,0.24,0.19
query5,0.74,0.48,0.49
query6,0.07,0.06,0.04
query7,0.12,0.05,0.07
query8,0.29,0.32,0.27
query9,0.64,0.49,0.50
query10,0.14,0.11,0.08
query11,0.23,0.11,0.11
query12,0.34,0.36,0.36
query13,0.54,0.51,0.60
query14,0.47,0.42,0.38
query15,0.19,0.19,0.18
query16,0.78,0.75,0.83
query17,0.31,0.27,0.30
query18,1.07,1.06,1.09
query19,0.02,0.01,0.01
query20,0.85,0.29,0.29
query21,0.24,0.18,0.18
query22,1.20,0.46,0.32
query23,1.88,0.66,0.58
query24,0.06,0.03,0.03
query25,0.09,0.06,0.05
query26,0.04,0.04,0.03
query27,0.36,0.18,0.21
query28,5.65,5.51,5.52
query29,0.16,0.10,0.14
query30,0.30,0.17,0.15
query31,0.29,0.18,0.18
query32,0.84,0.86,0.75
query33,1.19,1.21,1.24
query34,1.11,1.18,1.21
query35,0.20,0.15,0.16
query36,0.26,0.15,0.13
query37,0.20,0.09,0.10
query38,0.12,0.08,0.07
query39,0.35,0.25,0.25
query40,0.17,0.08,0.10
query41,0.13,0.08,0.08
query42,0.06,0.04,0.05
